Student_ID,CGPA,IQ,Communication_Skills,Aptitude_Score,Technical_Skills,Internship,Projects,Backlogs,Attendance,Placement
1035,9.73,81,8,54,6,Yes,0,4,97,No
251,5.72,107,10,63,2,No,5,4,90,No
2579,9.48,80,5,91,5,Yes,3,4,87,No
3526,7.76,118,7,98,9,No,5,1,94,Yes
3534,6.4,134,3,97,6,No,0,1,90,No
354,9.5,98,8,87,3,Yes,2,1,100,Yes
3741,5.21,124,7,99,7,No,5,2,96,No
3931,6.31,145,7,99,7,Yes,6,3,64,Yes
4234,6.47,111,8,47,8,Yes,3,4,81,No
2321,8.83,106,7,71,4,Yes,2,4,86,No
4268,7.34,132,10,65,4,No,1,3,62,No
299,9.22,91,9,72,6,No,2,3,91,Yes
4092,5.87,82,6,45,5,No,4,4,63,No
2493,5.63,80,4,70,7,Yes,0,3,99,No
2915,5.58,110,4,70,10,Yes,4,0,62,Yes
4280,7.82,135,5,99,7,No,4,1,85,No
3530,6.94,120,6,72,2,Yes,5,2,63,No
200,5.25,104,8,75,6,Yes,4,3,95,No
3777,9.75,80,5,47,5,Yes,2,3,99,Yes
2903,7.77,103,5,89,3,No,1,3,63,No
1196,9.52,117,6,73,6,Yes,4,4,66,Yes
15,8.66,144,4,95,6,No,4,4,72,No
130,8.99,91,9,46,7,No,4,0,97,Yes
4779,8.29,118,10,66,6,No,0,4,77,Yes
2907,7.52,112,10,97,6,No,3,4,98,No
3608,8.49,124,8,87,10,No,5,2,96,Yes
1788,8.87,120,8,99,3,Yes,1,2,85,Yes
1919,8.86,130,5,58,2,No,3,5,100,No
312,6.42,86,6,71,8,Yes,3,5,98,No
4349,6.23,84,8,44,7,Yes,3,1,61,No
168,7.95,110,9,51,3,No,2,0,93,Yes
404,7.01,93,4,58,3,No,3,1,98,No
3303,5.94,138,9,83,3,Yes,4,5,96,Yes
749,8.82,118,7,67,10,Yes,3,3,76,Yes
4143,9.78,97,9,46,7,No,5,4,61,No
4826,8.34,80,9,87,5,No,2,1,75,Yes
2663,6.28,86,8,55,8,No,5,5,90,No
983,8.9,82,9,75,10,No,4,3,64,Yes
984,7.81,95,6,82,3,Yes,4,5,71,No
693,8.28,96,10,62,8,Yes,5,0,78,Yes
412,9.05,93,9,98,9,No,5,3,71,Yes
1978,9.31,129,9,57,3,Yes,5,3,83,Yes
1381,9.19,121,10,58,7,No,5,0,96,No
